
[11:18:02]	[type]: 8  Array to string conversion [file]: C:\wamp\www\kex\data\cache\d0\be\096be9455be404e7738e9b2bcd01b7afb59c4442ddba7f7f2c394e6fd516.php [line]: 190 
[11:21:24]	[type]: 8  Array to string conversion [file]: C:\wamp\www\kex\lib\bluz\View\Helper\Attributes.php [line]: 38 
[11:28:30]	[type]: 8  Array to string conversion [file]: C:\wamp\www\kex\data\cache\d0\be\096be9455be404e7738e9b2bcd01b7afb59c4442ddba7f7f2c394e6fd516.php [line]: 190 
[11:31:07]	[type]: 8  Array to string conversion [file]: C:\wamp\www\kex\data\cache\d0\be\096be9455be404e7738e9b2bcd01b7afb59c4442ddba7f7f2c394e6fd516.php [line]: 190 
[11:32:36]	[type]: 8  Array to string conversion [file]: C:\wamp\www\kex\data\cache\d0\be\096be9455be404e7738e9b2bcd01b7afb59c4442ddba7f7f2c394e6fd516.php [line]: 190 
[11:40:23]	[type]: 8  Array to string conversion [file]: C:\wamp\www\kex\lib\bluz\View\Helper\Attributes.php [line]: 38 
[13:28:53]	Allowed memory size of 536870912 bytes exhausted (tried to allocate 506986464 bytes)
C:\wamp\www\kex\lib\bluz\Db\Db.php#404

[13:28:53]	[type]: 1  Allowed memory size of 536870912 bytes exhausted (tried to allocate 506986464 bytes) [file]: C:\wamp\www\kex\lib\bluz\Db\Db.php [line]: 404 
[13:30:53]	[type]: 8  Array to string conversion [file]: C:\wamp\www\kex\data\cache\d0\be\096be9455be404e7738e9b2bcd01b7afb59c4442ddba7f7f2c394e6fd516.php [line]: 190 
[13:39:02]	[type]: 8  Array to string conversion [file]: C:\wamp\www\kex\lib\bluz\View\Helper\Attributes.php [line]: 38 
[13:42:17]	[type]: 8  Array to string conversion [file]: C:\wamp\www\kex\lib\bluz\View\Helper\Attributes.php [line]: 38 
[13:44:10]	[type]: 8  Array to string conversion [file]: C:\wamp\www\kex\data\cache\d0\be\096be9455be404e7738e9b2bcd01b7afb59c4442ddba7f7f2c394e6fd516.php [line]: 190 
[13:44:27]	[type]: 8  Array to string conversion [file]: C:\wamp\www\kex\lib\bluz\View\Helper\Attributes.php [line]: 38 
[13:48:28]	[type]: 8  Array to string conversion [file]: C:\wamp\www\kex\data\cache\d0\be\096be9455be404e7738e9b2bcd01b7afb59c4442ddba7f7f2c394e6fd516.php [line]: 190 
[13:49:55]	[type]: 8  Array to string conversion [file]: C:\wamp\www\kex\lib\bluz\View\Helper\Attributes.php [line]: 38 
[13:51:11]	Out of memory (allocated 222560256) (tried to allocate 193724384 bytes)
C:\wamp\www\kex\lib\bluz\Db\Db.php#404

[13:51:11]	[type]: 1  Out of memory (allocated 222560256) (tried to allocate 193724384 bytes) [file]: C:\wamp\www\kex\lib\bluz\Db\Db.php [line]: 404 
[13:56:01]	Out of memory (allocated 69206016) (tried to allocate 40370144 bytes)
C:\wamp\www\kex\lib\bluz\Db\Db.php#404

[13:56:01]	[type]: 1  Out of memory (allocated 69206016) (tried to allocate 40370144 bytes) [file]: C:\wamp\www\kex\lib\bluz\Db\Db.php [line]: 404 
[13:57:04]	[type]: 8  Array to string conversion [file]: C:\wamp\www\kex\data\cache\d0\be\096be9455be404e7738e9b2bcd01b7afb59c4442ddba7f7f2c394e6fd516.php [line]: 190 
[13:57:24]	Out of memory (allocated 35389440) (tried to allocate 6553568 bytes)
C:\wamp\www\kex\lib\bluz\Db\Db.php#404

[13:57:24]	[type]: 1  Out of memory (allocated 35389440) (tried to allocate 6553568 bytes) [file]: C:\wamp\www\kex\lib\bluz\Db\Db.php [line]: 404 


















[15:48:00]	[type]: 8  Array to string conversion [file]: C:\wamp\www\kex\lib\bluz\View\Helper\Attributes.php [line]: 38 
[15:48:01]	[type]: 8  Array to string conversion [file]: C:\wamp\www\kex\lib\bluz\View\Helper\Attributes.php [line]: 38 
[15:48:01]	[type]: 8  Array to string conversion [file]: C:\wamp\www\kex\lib\bluz\View\Helper\Attributes.php [line]: 38 
[15:48:09]	[type]: 8  Array to string conversion [file]: C:\wamp\www\kex\data\cache\d0\be\096be9455be404e7738e9b2bcd01b7afb59c4442ddba7f7f2c394e6fd516.php [line]: 190 
[15:50:18]	[type]: 8  Array to string conversion [file]: C:\wamp\www\kex\lib\bluz\View\Helper\Attributes.php [line]: 38 
[15:54:57]	[type]: 8  Array to string conversion [file]: C:\wamp\www\kex\lib\bluz\View\Helper\Attributes.php [line]: 38 
[15:55:43]	[type]: 8  Array to string conversion [file]: C:\wamp\www\kex\data\cache\d0\be\096be9455be404e7738e9b2bcd01b7afb59c4442ddba7f7f2c394e6fd516.php [line]: 190 
[15:57:11]	[type]: 8  Array to string conversion [file]: C:\wamp\www\kex\lib\bluz\View\Helper\Attributes.php [line]: 38 
[15:58:42]	[type]: 8  Array to string conversion [file]: C:\wamp\www\kex\lib\bluz\View\Helper\Attributes.php [line]: 38 
[16:06:03]	[type]: 8  Array to string conversion [file]: C:\wamp\www\kex\data\cache\d0\be\096be9455be404e7738e9b2bcd01b7afb59c4442ddba7f7f2c394e6fd516.php [line]: 190 
[16:07:04]	[type]: 8  Array to string conversion [file]: C:\wamp\www\kex\lib\bluz\View\Helper\Attributes.php [line]: 38 
[16:13:40]	[type]: 8  Array to string conversion [file]: C:\wamp\www\kex\lib\bluz\View\Helper\Attributes.php [line]: 38 
[16:23:29]	[type]: 8  Array to string conversion [file]: C:\wamp\www\kex\data\cache\d0\be\096be9455be404e7738e9b2bcd01b7afb59c4442ddba7f7f2c394e6fd516.php [line]: 190 
[16:23:35]	[type]: 8  Array to string conversion [file]: C:\wamp\www\kex\lib\bluz\View\Helper\Attributes.php [line]: 38 
[16:23:35]	[type]: 8  Array to string conversion [file]: C:\wamp\www\kex\lib\bluz\View\Helper\Attributes.php [line]: 38 
[16:23:39]	[type]: 8  Array to string conversion [file]: C:\wamp\www\kex\lib\bluz\View\Helper\Attributes.php [line]: 38 
[16:30:23]	[type]: 8  Array to string conversion [file]: C:\wamp\www\kex\lib\bluz\View\Helper\Attributes.php [line]: 38 
[16:56:18]	[type]: 8  Array to string conversion [file]: C:\wamp\www\kex\data\cache\d0\be\096be9455be404e7738e9b2bcd01b7afb59c4442ddba7f7f2c394e6fd516.php [line]: 190 
[17:02:29]	[type]: 8  Array to string conversion [file]: C:\wamp\www\kex\data\cache\d0\be\096be9455be404e7738e9b2bcd01b7afb59c4442ddba7f7f2c394e6fd516.php [line]: 190 
